,category,instruction,operand1,operand2,operand3,operand4,operand5,time,type,issue2inst,delay,inflight SMEM,inflight VMEM,inflight FLAT,shader,simd,wave_id,begin_time,end_time,num_mem_instrs,num_issued_instrs,num_valu_instrs,num_valu_stalls,num_vmem_instrs,num_vmem_stalls,num_flat_instrs,num_flat_stalls,num_lds_instrs,num_lds_stalls,num_salu_instrs,num_salu_stalls,num_smem_instrs,num_smem_stalls,num_branch_instrs,num_branch_taken_instrs,num_branch_stalls
94,VALU,v_add_f32_e32,v5,v7,v8,,,10536,6,4,8,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
95,FLAT,global_store_dword,v[3:4],v5,off,,,10548,4,4,0,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
96,SALU,s_andn2_b64,exec,exec,s[12:13],,,10556,2,8,0,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
97,JUMP,s_cbranch_execnz,.LBB0_2,,,,,10560,7,4,16,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
98,VALU,v_mov_b32_e32,v4,s5,,,,10580,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
99,VALU,v_add_co_u32_e64,v5,s[0:1],s4,v1,,10588,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
100,VALU,v_mov_b32_e32,v7,s9,,,,10596,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
101,VALU,v_add_co_u32_e32,v3,vcc,s8,v1,,10604,6,4,8,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
102,FLAT,global_load_dword,v7,v[5:6],off,,,10616,4,4,0,0,0,2,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
103,FLAT,global_load_dword,v8,v[3:4],off,,,10620,4,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
104,VALU,v_mov_b32_e32,v4,s3,,,,10624,6,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
105,VALU,v_mov_b32_e32,v5,s11,,,,10628,6,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
106,VALU,v_add_co_u32_e32,v3,vcc,s2,v1,,10632,6,4,4,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
107,VALU,v_add_co_u32_e64,v1,s[0:1],s10,v1,,10640,6,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
108,VALU,v_add_u32_e32,v0,s6,v0,,,10644,6,4,4,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
109,VALU,v_addc_co_u32_e32,v4,vcc,v4,v2,vcc,10652,6,4,16,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
110,SALU,s_or_b64,s[12:13],vcc,s[12:13],,,10676,2,8,4,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
111,IMMED,s_waitcnt,vmcnt(0),,,,,10680,9,0,416,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
112,VALU,v_add_f32_e32,v5,v7,v8,,,11100,6,4,8,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
113,FLAT,global_store_dword,v[3:4],v5,off,,,11112,4,4,0,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
114,SALU,s_andn2_b64,exec,exec,s[12:13],,,11120,2,8,0,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
115,JUMP,s_cbranch_execnz,.LBB0_2,,,,,11124,7,4,16,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
116,VALU,v_mov_b32_e32,v4,s5,,,,11144,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
117,VALU,v_add_co_u32_e64,v5,s[0:1],s4,v1,,11152,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
118,VALU,v_mov_b32_e32,v7,s9,,,,11160,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
119,VALU,v_add_co_u32_e32,v3,vcc,s8,v1,,11168,6,4,8,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
